"","Country","Lat","Long","date","Confirmed","Recovered","Deaths"
"1","Australia",-35.4735,149.0124,2020-03-19,4,0,0
"2","Australia",35.4437,139.638,2020-03-19,0,0,0
"3","Australia",-33.8688,151.2093,2020-03-19,307,4,5
"4","Australia",-12.4634,130.8456,2020-03-19,1,0,0
"5","Australia",-28.0167,153.4,2020-03-19,144,8,0
"6","Australia",-34.9285,138.6007,2020-03-19,42,3,0
"7","Australia",-41.4545,145.9707,2020-03-19,10,3,0
"8","Australia",-37.8136,144.9631,2020-03-19,121,8,0
"9","Australia",-31.9505,115.8605,2020-03-19,52,0,1
