"","Country","year","population"
"1","Afghanistan",2019,37769499
"2","Albania",2019,2854191
"3","Algeria",2019,42705368
"4","American Samoa",2019,47321
"5","Andorra",2019,76343
"6","Angola",2019,32353588
"7","Antigua and Barbuda",2019,92117
"8","Argentina",2019,44938712
"9","Armenia",2019,2820602
"10","Aruba",2019,106442
"11","Australia",2019,25334826
"12","Austria",2019,8879920
"13","Azerbaijan",2019,10024283
"14","Bahrain",2019,1494188
"15","Bangladesh",2019,165516222
"16","Barbados",2019,280180
"17","Belarus",2019,9419758
"18","Belgium",2019,11488980
"19","Belize",2019,389095
"20","Benin",2019,12290444
"21","Bermuda",2019,63911
"22","Bhutan",2019,767459
"23","Bolivia",2019,11777315
"24","Bosnia and Herzegovina",2019,3360711
"25","Botswana",2019,2499702
"26","Brazil",2019,211782878
"27","British Virgin Islands",2019,30610
"28","Bulgaria",2019,6975761
"29","Burkina Faso",2019,20951639
"30","Burundi",2019,11874838
"31","Cabo Verde",2019,577030
"32","Cambodia",2019,16207746
"33","Cameroon",2019,25782341
"34","Canada",2019,37618495
"35","Cayman Islands",2019,66134
"36","Central African Republic",2019,5209324
"37","Chad",2019,16126866
"38","Chile",2019,19039485
"39","China",2019,1407745000
"40","Colombia",2019,50187406
"41","Comoros",2019,790986
"42","Costa Rica",2019,5084532
"43","Cote d'Ivoire",2019,26147551
"44","Croatia",2019,4065253
"45","Cuba",2019,11316697
"46","Curacao",2019,157441
"47","Cyprus",2019,1228836
"48","Denmark",2019,5814422
"49","Djibouti",2019,1073994
"50","Dominica",2019,71428
"51","Dominican Republic",2019,10881882
"52","Ecuador",2019,17343740
"53","El Salvador",2019,6280217
"54","Equatorial Guinea",2019,1553031
"55","Eritrea",2019,3498818
"56","Estonia",2019,1326898
"57","Eswatini",2019,1169613
"58","Ethiopia",2019,114120594
"59","Faroe Islands",2019,51681
"60","Fiji",2019,918465
"61","Finland",2019,5521606
"62","France",2019,67388001
"63","French Polynesia",2019,299717
"64","Gabon",2019,2242785
"65","Georgia",2019,3720161
"66","Germany",2019,83092962
"67","Ghana",2019,31522290
"68","Greece",2019,10721582
"69","Greenland",2019,56225
"70","Grenada",2019,122724
"71","Guam",2019,168624
"72","Guatemala",2019,16604026
"73","Guinea",2019,12877539
"74","Guinea-Bissau",2019,1970457
"75","Guyana",2019,798753
"76","Haiti",2019,11160438
"77","Honduras",2019,9958829
"78","Hungary",2019,9771141
"79","Iceland",2019,360563
"80","India",2019,1383112050
"81","Indonesia",2019,269582878
"82","Iraq",2019,41563520
"83","Ireland",2019,4934340
"84","Isle of Man",2019,83933
"85","Italy",2019,59729081
"86","Jamaica",2019,2813773
"87","Japan",2019,126633000
"88","Jordan",2019,10698683
"89","Kazakhstan",2019,18513673
"90","Kenya",2019,50951450
"91","Kiribati",2019,124241
"92","Korea, Dem. People's Rep.",2019,25755441
"93","Kosovo",2019,1788878
"94","Kuwait",2019,4441100
"95","Lao PDR",2019,7212053
"96","Latvia",2019,1913822
"97","Lebanon",2019,5781907
"98","Lesotho",2019,2225702
"99","Liberia",2019,4985289
"100","Libya",2019,6569088
"101","Liechtenstein",2019,38482
"102","Lithuania",2019,2794137
"103","Luxembourg",2019,620001
"104","Madagascar",2019,27533134
"105","Malawi",2019,18867337
"106","Malaysia",2019,32804020
"107","Maldives",2019,504508
"108","Mali",2019,20567424
"109","Malta",2019,504062
"110","Marshall Islands",2019,44728
"111","Mauritania",2019,4383849
"112","Mauritius",2019,1265985
"113","Mexico",2019,125085311
"114","Moldova",2019,2664224
"115","Monaco",2019,37034
"116","Mongolia",2019,3232430
"117","Montenegro",2019,622028
"118","Morocco",2019,36304408
"119","Mozambique",2019,30285595
"120","Myanmar",2019,53040212
"121","Namibia",2019,2446644
"122","Nauru",2019,12132
"123","Nepal",2019,28832496
"124","Netherlands",2019,17344874
"125","New Caledonia",2019,271240
"126","New Zealand",2019,4979200
"127","Nicaragua",2019,6663924
"128","Niger",2019,23443393
"129","Nigeria",2019,203304492
"130","North Macedonia",2019,1876262
"131","Northern Mariana Islands",2019,49858
"132","Norway",2019,5347896
"133","Oman",2019,4602768
"134","Pakistan",2019,223293280
"135","Palau",2019,17916
"136","Panama",2019,4232532
"137","Papua New Guinea",2019,9542486
"138","Paraguay",2019,6530026
"139","Peru",2019,32824861
"140","Philippines",2019,110380804
"141","Poland",2019,37965475
"142","Portugal",2019,10286263
"143","Puerto Rico",2019,3193694
"144","Qatar",2019,2807235
"145","Romania",2019,19371648
"146","Rwanda",2019,12835028
"147","Samoa",2019,211905
"148","San Marino",2019,34178
"149","Sao Tome and Principe",2019,214599
"150","Saudi Arabia",2019,35827362
"151","Senegal",2019,16000781
"152","Serbia",2019,6945235
"153","Seychelles",2019,97625
"154","Sierra Leone",2019,8046828
"155","Singapore",2019,5703569
"156","Sint Maarten (Dutch part)",2019,39648
"157","Slovenia",2019,2088385
"158","Solomon Islands",2019,674993
"159","Somalia",2019,15981300
"160","South Africa",2019,58087055
"161","South Sudan",2019,10447666
"162","Spain",2019,47134837
"163","Sri Lanka",2019,21803000
"164","St. Martin (French part)",2019,33121
"165","Sudan",2019,43232093
"166","Suriname",2019,600301
"167","Sweden",2019,10278887
"168","Switzerland",2019,8575280
"169","Tajikistan",2019,9337003
"170","Tanzania",2019,59872579
"171","Thailand",2019,71307763
"172","Timor-Leste",2019,1280438
"173","Togo",2019,8243094
"174","Tonga",2019,104951
"175","Trinidad and Tobago",2019,1519955
"176","Tunisia",2019,12049314
"177","Turkiye",2019,82579440
"178","Turkmenistan",2019,6158420
"179","Turks and Caicos Islands",2019,43080
"180","Tuvalu",2019,10956
"181","Uganda",2019,42949080
"182","Ukraine",2019,44474512
"183","United Arab Emirates",2019,9211657
"184","United Kingdom",2019,66836327
"185","Uruguay",2019,3428409
"186","Uzbekistan",2019,33580350
"187","Vanuatu",2019,304404
"188","Virgin Islands (U.S.)",2019,106669
"189","Zambia",2019,18380477
"190","Zimbabwe",2019,15354608
